,level_of_difficulty,tensor_name,source_domain,subtensor_name,subtensor_definition
0,Elementary,solar system,Astronomy,Planets,Celestial bodies that orbit the Sun
1,Elementary,solar system,Astronomy,Moons,Natural satellites that orbit planets
2,Elementary,solar system,Astronomy,Asteroids,Small rocky bodies that orbit the Sun
3,Elementary,solar system,Astronomy,Comets,Small icy bodies that orbit the Sun
4,Elementary,solar system,Astronomy,Dwarf Planets,Celestial bodies that are not considered full-fledged planets
5,Intermediate,big bang theory,Astronomy,Cosmic Microwave Background Radiation,"Faint radiation left over from the Big Bang, expanding across the universe"
6,Intermediate,big bang theory,Astronomy,Inflation Theory,The theory explaining the rapid expansion of the universe in the early stages after the Big Bang
7,Intermediate,big bang theory,Astronomy,Singularity,A point in space-time where gravitational forces cause matter to be compressed to infinite density
8,Intermediate,big bang theory,Astronomy,Dark Matter,Hypothesized matter that does not emit light or energy but interacts with gravity to influence the cosmos
9,Advanced,theory of the naked singularity,Astronomy,Naked Singularity,A type of singularity that is not hidden behind an event horizon in a black hole
10,Advanced,theory of the naked singularity,Astronomy,Singularities,Points in space where the laws of physics break down and the quantities like density and gravity become infinite
11,Advanced,theory of the naked singularity,Astronomy,Event Horizon,"The boundary surrounding a black hole beyond which nothing can escape, not even light"
12,Advanced,theory of the naked singularity,Astronomy,Black Holes,Objects in space with extremely strong gravitational fields that not even light can escape from within its boundary
13,Elementary,ecosystems,Biology,Biome,"A large geographical area of distinctive plant and animal groups, which are adapted to that particular environment."
14,Elementary,ecosystems,Biology,Food Chain,A series of organisms each dependent on the next as a source of food.
15,Elementary,ecosystems,Biology,Habitat,The natural home or environment of an organism.
16,Elementary,ecosystems,Biology,Biodiversity,The variety of life forms present in different habitats and ecosystems.
17,Intermediate,DNA,Biology,Genes,Segments of DNA that contain the instructions for building proteins.
18,Intermediate,DNA,Biology,Nucleotides,"The building blocks of DNA, consisting of a sugar, a phosphate group, and a nitrogenous base."
19,Intermediate,DNA,Biology,Chromosomes,Structures composed of DNA wrapped around proteins found in the nucleus of eukaryotic cells.
20,Intermediate,DNA,Biology,Double Helix,"The twisted-ladder structure of DNA, consisting of two strands of nucleotides held together by hydrogen bonds."
21,Advanced,endocrine system,Biology,Hormones,Chemical messengers produced by endocrine glands and secreted directly into the bloodstream
22,Advanced,endocrine system,Biology,Endocrine Glands,Ductless glands that secrete hormones directly into the bloodstream
23,Advanced,endocrine system,Biology,Pituitary Gland,Master gland that controls other endocrine glands and regulates various body functions
24,Advanced,endocrine system,Biology,Thyroid Gland,"Regulates metabolism, growth, and development"
25,Advanced,endocrine system,Biology,Adrenal Glands,"Produce hormones that help regulate stress response, metabolism, and blood pressure"
26,Elementary,chemical reaction,Chemistry,Reactants,Substances that undergo a chemical change in a reaction.
27,Elementary,chemical reaction,Chemistry,Products,Substances formed as a result of a chemical reaction.
28,Elementary,chemical reaction,Chemistry,Catalysts,Substances that increase the rate of a chemical reaction without being consumed in the process.
29,Elementary,chemical reaction,Chemistry,Equilibrium,A state in which the rate of the forward reaction equals the rate of the reverse reaction.
30,Elementary,chemical reaction,Chemistry,Exothermic Reaction,A reaction that releases heat energy to its surroundings.
31,Elementary,chemical reaction,Chemistry,Endothermic Reaction,A reaction that absorbs heat energy from its surroundings.
32,Intermediate,molecular compounds,Chemistry,Covalent Bonds,Bonds formed by sharing electrons between atoms
33,Intermediate,molecular compounds,Chemistry,Lewis Structures,Structural formulas that represent the arrangement of atoms and electrons in a molecule
34,Intermediate,molecular compounds,Chemistry,Molecular Geometry,The 3D arrangement of atoms in a molecule
35,Intermediate,molecular compounds,Chemistry,Intermolecular Forces,Forces of attraction between molecules
36,Intermediate,molecular compounds,Chemistry,Isomerism,Compounds with the same molecular formula but different structures
37,Advanced,chemical kinetics,Chemistry,Reaction rate,The speed at which reactants are converted into products in a chemical reaction.
